Year,High,Low,LowerMid,UpperMid
1992,11555622.749,82866.866,2096423.9,7478637.481
1993,11714161.827,82786.192,2064594.34,7569417.733
1994,11863962.444,80571.324,2001763.962,7559725.852
1995,11936741.393,80395.308,2082445.296,7836147.979
1996,12261212.221,83625.935,2186005.043,8011082.214
1997,12341024.476,83996.302,2202975.9189999998,7981064.152
1998,12338083.542,151010.727,2170647.647,7895267.353
1999,12511176.943,161971.39,2277195.999,7972373.362
2000,12917975.588,166063.762,2396648.524,8120637.506
2001,12871639.376,170104.796,2449097.625,8294222.285
2002,12945276.403,157288.631,2511095.594,8691417.057
2003,13133723.533,178747.915,2640951.398,9608926.126
2004,13347194.271,180867.441,2768254.97,10465966.365
2005,13365664.950000001,186661.301,2862687.554,11259600.507
2006,13380131.265,195553.776,2970181.992,12139687.841
2007,13445972.25,199492.134,3142160.625,12721908.432
2008,13292695.317,213481.739,3372675.579,13496741.865
2009,12594942.224,214145.466,3510342.093,13762331.674
2010,13022514.424,214486.497,3578504.289,14808365.425999999
2011,12796671.228,196800.556,3918677.211,15962076.966
2012,12686433.874,189136.52599999998,4162140.342,16464661.318
2013,12666030.686,183562.686,4029035.576,16714725.049
2014,12654534.641,191578.748,4182290.507,16819989.951
