Year,EastAsiaPacific,EuropeCentralAsia,LatinAmericaCaribbean,MiddleEastNorthAfrica,NorthAmerica,SouthAsia,SubSaharanAfrica
1992,4960592.922,7572916.051,1036110.85,1062469.246,5350974.408,797983.204,432504.315
1993,5236908.706,7207275.814,1073660.93,1157697.5690000001,5474794.33,827348.54,453274.203
1994,5537192.002,6752872.175,1112960.169,1211499.793,5551735.324,877469.096,462295.023
1995,5887269.490999999,6712458.168,1124023.508,1186358.841,5601089.477,928543.072,495987.419
1996,6167230.273,6758992.398,1178474.791,1186828.217,5732060.049000001,1012117.669,506222.016
1997,6262498.933,6507557.209,1243498.035,1153542.858,5864534.091,1049678.75,527750.973
1998,5982395.138,6491301.398,1321003.747,1267747.906,5908065.0479999995,1069733.573,514762.459
1999,6104223.879000001,6445676.584,1345044.599,1353489.7,6020572.274999999,1134852.159,518858.498
2000,6326385.407,6495863.146,1337211.887,1473033.9,6228582.850000001,1181100.363,559147.8269999999
2001,6451327.431,6578880.359,1368608.741,1496924.405,6124249.365999999,1197268.166,567805.6140000001
2002,6893043.25,6566507.901,1385047.902,1515868.127,6161201.725000001,1217814.367,565594.413
2003,7651400.852,6756638.184,1418963.9849999999,1615889.219,6229363.921,1270164.459,619928.352
2004,8452820.035,6800015.127,1428417.511,1747453.845,6308857.147,1340519.5210000002,684199.861
2005,9111750.599,6804283.515,1504353.747,1833500,6347727.347,1416188.0659999999,656811.038
2006,9758935.762,6993332.033,1549545.855,1941947.858,6241758.381,1510675.655,689359.33
2007,10353818.504,6962653.911,1577132.696,1928295.617,6344115.352,1629299.438,714217.9230000001
2008,10959944.268000001,6950252.117,1656948.618,2086820.027,6175789.051,1798062.112,747778.307
2009,11379119.038,6382505.175,1621657.41,2184057.866,5800746.626,1976769.69,736905.652
2010,12310995.412999999,6694922.574,1707333.198,2271079.443,5930811.449,1969230.338,739498.221
2011,13480577.728999998,6673466.9569999995,1742866.428,2297742.2,5827237.034,2101777.72,750557.893
2012,13847178.719999999,6676374.888,1826917.735,2468881.09,5637370.774999999,2284078.958,761569.894
2013,13993481.019000001,6542870.419,1853928.857,2445353.618,5676780.024,2302942.006,777998.054
2014,14003818.292000001,6237699.012,1891299.254,2590687.829,5792048.502,2516434.7460000003,816406.2119999999
